sample_ID,country,site,ex_Ca,ex_Mg,ex_K,ex_Al,ex_Na,ex_Fe,ex_Mn,pH_BaCl2
CI_tb_01_soil_cal,CI,tb,1340,133,339,0,31.3,3.12,25.0,2.96
CI_tb_02_soil_cal,CI,tb,2170,317,415,0,16.3,1.58,9.21,2.44
CI_tb_03_soil_cal,CI,tb,752,172,176,0,14.8,2.06,8.21,2.98
CI_tb_04_soil_cal,CI,tb,2130,187,303,0,11.0,1.49,1.56,4.64
CI_tb_05_soil_cal,CI,tb,612,233,130,0,13.7,1.89,7.61,3.66
CI_tb_06_soil_cal,CI,tb,1300,153,205,0,11.4,1.97,3.04,3.91
CI_tb_07_soil_cal,CI,tb,887,156,327,0,13.4,2.01,9.17,3.59
CI_tb_08_soil_cal,CI,tb,1900,366,446,0,13.0,1.83,5.05,3.59
CI_tb_09_soil_cal,CI,tb,388, ,50.7,0,12.9,2.04,4.13,3.42
CI_tb_10_soil_cal,CI,tb,2120,318,519,0,14.4,2.36,4.06,3.65
CI_tb_11_soil_cal,CI,tb,844,127,157,0,11.9,1.66,8.08,3.37
CI_tb_12_soil_cal,CI,tb,601,77.0,67.6,0,12.6,1.95,9.07,3.41
CI_tb_13_soil_cal,CI,tb,2140,220,0,0,0.444,1.82,6.99,3.54
CI_tb_14_soil_cal,CI,tb,405,102,132,0,10.7,1.52,8.55,3.49
CI_tb_15_soil_cal,CI,tb,1440,177,180,0,15.1,2.13,4.65,3.51
CI_tb_16_soil_cal,CI,tb,494,87.4,64.0,0,8.82,1.43,4.09,3.64
CI_tb_17_soil_cal,CI,tb,2040,337,327,0,11.5,1.85,7.05,3.84
CI_tb_18_soil_cal,CI,tb,1150,316,21.0,0,1.32,1.83,13.0,3.52
CI_tb_19_soil_cal,CI,tb,1540,201,370,0,13.8,1.98,5.87,3.27
CI_tb_20_soil_cal,CI,tb,375,108,163,41.3,10.6,2.51,11.5,3.36
CI_sb_01_soil_cal,CI,sb,1990,223,137,0,13.3,1.73,9.59,3.68
CI_sb_02_soil_cal,CI,sb,1600,336,380,0,14.1,1.94,7.48,2.57
CI_sb_03_soil_cal,CI,sb,828,92.0,289,0,15.1,2.43,5.41,3.44
CI_sb_04_soil_cal,CI,sb,453,91.8,77.6,32.7,17.5,4.33,12.3,3.41
CI_sb_05_soil_cal,CI,sb,520,111,234,0,14.9,2.65,5.06,3.42
CI_sb_06_soil_cal,CI,sb,1010,61.6,113,0,15.9,2.14,10.7,3.42
CI_sb_07_soil_cal,CI,sb,1650,432,868,0,15.1,1.87,3.55,3.7
CI_sb_08_soil_cal,CI,sb,1570,241,421,0,12.2,1.57,1.70,4.24
CI_sb_09_soil_cal,CI,sb,374,40.9,35.3,0,13.0,1.91,4.30,3.35
CI_sb_10_soil_cal,CI,sb,464,85.4,122,0,12.3,1.87,7.36,3.14
CI_sb_11_soil_cal,CI,sb,1020,77.5,104,0,12.7,1.96,2.31,3.3
CI_sb_12_soil_cal,CI,sb,406,43.9,46.6,0,12.1,1.77,10.2,3.43
CI_sb_13_soil_cal,CI,sb,725,59.4,84.3,0,9.82,1.84,3.23,3.62
CI_sb_14_soil_cal,CI,sb,622,146,70.6,0,15.9,2.34,15.0,3.34
CI_sb_15_soil_cal,CI,sb,615,81.4,166,0,13.9,1.84,13.2,3.24
CI_sb_16_soil_cal,CI,sb,603,60.1,146,0,12.6,1.92,5.33,3.27
CI_sb_17_soil_cal,CI,sb,1850,330,261,0,16.3,2.46,4.79,3.46
CI_sb_18_soil_cal,CI,sb,,62.6,90.4,0,13.5,2.07,25.1,3.49
CI_sb_19_soil_cal,CI,sb,690,179,124,0,14.4,1.94,13.2,3.65
CI_sb_20_soil_cal,CI,sb,351,39.7,55.2,0,12.7,1.75,26.1,3.44
BF_lo_01_soil_cal,BF,lo,488,62.5,113,0,12.2,1.79,5.57,3.67
BF_lo_02_soil_cal,BF,lo,656,47.5,140,0,9.36,1.43,2.67,3.63
BF_lo_03_soil_cal,BF,lo,270,21.9,61.6,10.4,11.3,1.89,8.18,3.5
BF_lo_04_soil_cal,BF,lo,469,48.4,114,0,12.4,1.76,5.59,3.56
BF_lo_05_soil_cal,BF,lo,604,92.6,115,0,11.1,1.67,8.98,3.56
BF_lo_06_soil_cal,BF,lo,426,41.8,90.7,0,9.81,1.75,5.55,3.64
BF_lo_07_soil_cal,BF,lo,321,46.0,72.9,4.76,10.2,1.86,10.1,3.45
BF_lo_08_soil_cal,BF,lo,250,34.1,75.5,5.85,12.6,1.78,10.0,3.47
BF_lo_09_soil_cal,BF,lo,375,47.0,88.5,0,10.7,1.66,4.34,3.56
BF_lo_10_soil_cal,BF,lo,225,31.6,121,6.45,13.2,2.32,8.73,3.15
BF_lo_11_soil_cal,BF,lo,491,64.4,137,0,12.2,1.86,8.23,3.57
BF_lo_12_soil_cal,BF,lo,448,39.3,58.4,0,9.82,1.78,5.03,3.74
BF_lo_13_soil_cal,BF,lo,306,34.8,67.1,0,14.4,2.02,7.10,3.15
BF_lo_14_soil_cal,BF,lo,276,34.9,120,9.96,13.1,1.87,16.1,3.44
BF_lo_15_soil_cal,BF,lo,531,43.4,104,0,11.1,1.93,5.03,3.4
BF_lo_16_soil_cal,BF,lo,,44.9,85.4,0,11.0,1.68,8.90,3.4
BF_lo_17_soil_cal,BF,lo,194,27.6,79.0,4.87,13.2,1.86,5.90,3.41
BF_lo_18_soil_cal,BF,lo,448,29.1,73.6,5.05,12.4,1.77,9.46,3.47
BF_lo_19_soil_cal,BF,lo,253,26.2,114,10.8,10.1,1.9,9.51,3.17
BF_lo_20_soil_cal,BF,lo,593,62.4,110,0,12.6,2.19,7.25,3.41
BF_mo_01_soil_cal,BF,mo,768,139,104,11.8,17.5,2.28,14.0,3.59
BF_mo_02_soil_cal,BF,mo,338,51.9,74.2,5.77,13.3,2.31,8.73,3.38
BF_mo_03_soil_cal,BF,mo,418,47.6,71.2,0,10.0,1.84,6.43,3.4
BF_mo_04_soil_cal,BF,mo,823,102,114,46.4 ,32.4,2.28,24.6,3.48
BF_mo_05_soil_cal,BF,mo,343,40.2,55.5,0,11.2,1.83,8.49,3.18
BF_mo_06_soil_cal,BF,mo,199,28.1,58.7,0,13.5,1.77,6.97,3.35
BF_mo_07_soil_cal,BF,mo,805,159,160,0,13.8,1.74,10.9,3.6
BF_mo_08_soil_cal,BF,mo,326,58.1,92.0,29.2,18.9,3.09,11.4,3.43
BF_mo_09_soil_cal,BF,mo,569,55.6,68.6,0,11.1,1.77,5.52,3.6
BF_mo_10_soil_cal,BF,mo,97.7,17.5,38.9,9.22,8.91,1.36,6.72,3.42
BF_mo_11_soil_cal,BF,mo,504,53.1,68.0,0,10.9,1.65,7.77,3.24
BF_mo_12_soil_cal,BF,mo,458,43.4,531,0,95.0,1.47,5.95,3.64
BF_mo_13_soil_cal,BF,mo,2050,126,121,0,15.1,2.07,5.89,3.58
BF_mo_14_soil_cal,BF,mo,582,43.9,70.7,0,10.3,1.71,2.81,3.67
BF_mo_15_soil_cal,BF,mo,395,41.5,65.0,0,9.18,1.29,5.31,3.51
BF_mo_16_soil_cal,BF,mo,814,80.5,113,0,13.8,1.87,7.58,3.7
BF_mo_17_soil_cal,BF,mo,413,34.0,41.8,0,11.1,1.78,7.00,3.68
BF_mo_18_soil_cal,BF,mo,392,49.5,53.2,0,11.8,1.94,8.17,2.48
BF_mo_19_soil_cal,BF,mo,614,60.6,100,0,11.9,2.19,4.94,3.58
BF_mo_20_soil_cal,BF,mo,682,64.3,67.2,12.9,9.87,6.35,8.48,3.41
CI_sb_YAMS_0001,CI,sb_icraf,664,241,19.0,0,50.4,1.7,9.33,3.55
CI_sb_YAMS_0002,CI,sb_icraf,200,26.6,33.6,23.5,13.3,2.05,8.14,3.39
CI_sb_YAMS_0003,CI,sb_icraf,171,30.9,32.3,29.6,18.0,2.3,6.06,3.28
CI_sb_YAMS_0004,CI,sb_icraf,1060,118,52.6,0,15.8,1.69,6.01,3.45
CI_sb_YAMS_0005,CI,sb_icraf,733,71.1,79.8,0,13.5,2.12,12.8,3.36
CI_sb_YAMS_0006,CI,sb_icraf,667,85.1,276,0,15.2,1.35,10.8,3.52
CI_sb_YAMS_0007,CI,sb_icraf,418,108,404,46.8,17.5,2.02,8.74,3.28
CI_sb_YAMS_0008,CI,sb_icraf,1030,229,20.6,0,104,1.67,10.4,3.6
CI_sb_YAMS_0009,CI,sb_icraf,859,138,129,0,31.9,1.85,4.35,3.56
CI_sb_YAMS_0010,CI,sb_icraf,1250,298,32.3,0,56.2,1.43,2.42,3.55
CI_sb_YAMS_0011,CI,sb_icraf,797,69.3,287,4.83,25.1,2.09,5.23,3.47
CI_sb_YAMS_0012,CI,sb_icraf,506,71.4,105,0,15.4,2.14,6.91,3.37
CI_sb_YAMS_0013,CI,sb_icraf,809,76.3,42.4,0,19.0,1.81,7.56,3.43
CI_sb_YAMS_0014,CI,sb_icraf,756,160,37.7,5.54,22.1,2.34,19.1,3.38
CI_tb_03_soil_cal,CI,tb,809,171,161,0,7.30,1.48,7.92,3.65
CI_tb_03_soil_cal,CI,tb,687,148,151,0,8.28,1.23,7.08,3.48
CI_sb_03_soil_cal,CI,sb,773,83.0,121,0,8.38,1.82,5.01,3.7
CI_sb_03_soil_cal,CI,sb,751,84.1,96.3,0,6.73,1.68,5.10,3.66
BF_lo_04_soil_cal,BF,lo,530,48.8,108,0,8.65,1.39,5.10,3.92
BF_lo_04_soil_cal,BF,lo,598,51.4,109,0,6.09,1.37,5.31,3.77
BF_mo_04_soil_cal,BF,mo,901,102,114,46.3,30.7,2.33,24.3,3.73
BF_mo_04_soil_cal,BF,mo,1010,110,134,46.5,40.0,2.07,26.0,3.85
