type,country,site,sample_ID,m_soil,P_stnd,h2o,eluate,m1,m2,abs
cal,cal,cal1,cal_1_0,,0,1.5,0.5,0.4,0.4,0.04
cal,cal,cal1,cal_1_0,,0,1.5,0.5,0.4,0.4,0.036
cal,cal,cal1,cal_1_0,,0,1.5,0.5,0.4,0.4,0.033
cal,cal,cal1,cal_1_p1,,0.0125,1.4875,0.5,0.4,0.4,0.057
cal,cal,cal1,cal_1_p2,,0.025,1.475,0.5,0.4,0.4,0.08
cal,cal,cal1,cal_1_p3,,0.05,1.45,0.5,0.4,0.4,0.134
cal,cal,cal1,cal_1_p4,,0.1,1.4,0.5,0.4,0.4,0.25
cal,cal,cal1,cal_1_p5,,0.2,1.3,0.5,0.4,0.4,0.481
cal,cal,cal1,cal_1_p6,,0.3,1.2,0.5,0.4,0.4,0.717
cal,cal,cal1,cal_1_p7,,0.4,1.1,0.5,0.4,0.4,0.947
cal,cal,cal1,cal_1_p8,,0.5,1,0.5,0.4,0.4,1.203
cal,cal,cal1,cal_1_p9,,0.6,0.9,0.5,0.4,0.4,1.407
cal,cal,cal1,cal_1_p10,,0.7,0.8,0.5,0.4,0.4,1.623
cal,cal,cal1,cal_1_p11,,0.8,0.7,0.5,0.4,0.4,1.864
cal,cal,cal1,cal_1_p12,,0.9,0.6,0.5,0.4,0.4,2.052
sample,CI,tb,CI_tb_03_soil_cal,2.01,,0,0.7,0.4,0.4,1.654
sample,CI,tb,CI_tb_04_soil_cal,2.01,,0,0.7,0.4,0.4,1.127
sample,CI,tb,CI_tb_06_soil_cal,2,,0,0.7,0.4,0.4,1.32
sample,CI,tb,CI_tb_10_soil_cal,2.02,,0,0.7,0.4,0.4,1.81
sample,CI,tb,CI_tb_11_soil_cal,2.01,,0,1,0.4,0.4,1.115
sample,CI,tb,CI_tb_13_soil_cal,2.01,,0,0.7,0.4,0.4,1.135
sample,CI,tb,CI_tb_15_soil_cal,2.01,,0,1,0.4,0.4,1.048
sample,CI,tb,CI_tb_16_soil_cal,2.01,,0,1,0.4,0.4,1.115
sample,CI,sb_icraf,CI_sb_YAMS_0009,2.01,,0,1,0.4,0.4,1.285
cal,cal,cal2,cal_2_0,,0,1.5,0.5,0.4,0.4,0.04
cal,cal,cal2,cal_2_p1,,0.0125,1.4875,0.5,0.4,0.4,0.058
cal,cal,cal2,cal_2_p2,,0.025,1.475,0.5,0.4,0.4,0.08
cal,cal,cal2,cal_2_p3,,0.05,1.45,0.5,0.4,0.4,0.133
cal,cal,cal2,cal_2_p4,,0.1,1.4,0.5,0.4,0.4,0.249
cal,cal,cal2,cal_2_p5,,0.2,1.3,0.5,0.4,0.4,0.481
cal,cal,cal2,cal_2_p6,,0.3,1.2,0.5,0.4,0.4,0.716
cal,cal,cal2,cal_2_p7,,0.4,1.1,0.5,0.4,0.4,0.948
cal,cal,cal2,cal_2_p8,,0.5,1,0.5,0.4,0.4,1.198
cal,cal,cal2,cal_2_p9,,0.6,0.9,0.5,0.4,0.4,1.405
cal,cal,cal2,cal_2_p10,,0.7,0.8,0.5,0.4,0.4,1.613
cal,cal,cal2,cal_2_p11,,0.8,0.7,0.5,0.4,0.4,1.844
cal,cal,cal2,cal_2_p12,,0.9,0.6,0.5,0.4,0.4,2.053
