sample_ID,Fe_tot,Si_tot,Al_tot,P_tot,S_tot,K_tot,Ca_tot,Mn_tot,Zn_tot,Cu_tot
BF_lo_10_soil_cal,0.7233,26.6,4.233,0.04215,188.3,2.205,0.05456,0.01954,13.8,1
BF_lo_11_soil_cal,0.7586,29.29,3.388,0.04518,222,0.5653,0.1142,0.02505,14.9,2.5
BF_lo_12_soil_cal,0.8554,26.17,3.544,0.03798,221.1,0.4889,0.1083,0.01454,14.8,4.1
BF_lo_13_soil_cal,1.022,28.13,4.42,0.04074,240.3,0.6701,0.08856,0.02042,14.7,3.4
BF_lo_14_soil_cal,0.6576,28.77,3.845,0.0394,218.4,1.773,0.06133,0.02188,12.8,2.4
BF_lo_15_soil_cal,0.7086,26.7,3.754,0.04116,225.3,1.362,0.1183,0.01677,16.2,2.6
BF_lo_16_soil_cal,0.9006,29.34,3.958,0.04397,217.6,1.306,0.07457,0.02351,14.6,2.8
BF_lo_17_soil_cal,0.6579,29.84,3.651,0.03582,192.3,0.4104,0.04555,0.01642,13.3,2
BF_lo_18_soil_cal,0.8121,29.52,3.649,0.04065,204,0.8608,0.0501,0.02035,12.2,2
BF_lo_19_soil_cal,0.8521,27.46,4.776,0.04,222.2,2.211,0.05483,0.01534,13.1,0.5
BF_lo_20_soil_cal,1.016,27.58,4.735,0.04535,280.8,1.673,0.1409,0.01945,16.8,2.8
BF_mo_01_soil_cal,1.041,35.39,3.283,0.04214,271.9,0.2886,0.0991,0.02214,18.3,9.9
BF_mo_02_soil_cal,1.475,26.14,4.206,0.04702,289,0.1948,0.08159,0.02168,15.4,9.7
BF_mo_03_soil_cal,0.4506,34.09,1.579,0.03106,192.4,0.09273,0.06999,0.01117,11,1.9
BF_mo_04_soil_cal,2.962,26.26,6.986,0.061,460.3,0.2504,0.1398,0.03625,35.9,29.2
BF_mo_05_soil_cal,0.7527,29.32,3.057,0.03755,211.5,0.1397,0.07349,0.01816,13.6,3.4
BF_mo_06_soil_cal,0.5595,29.27,2.246,0.03183,196.2,0.121,0.05012,0.01468,12,2.5
BF_mo_07_soil_cal,1.291,31.93,4.323,0.04257,331.5,0.2172,0.1225,0.02262,18.7,9.6
BF_mo_08_soil_cal,0.9321,33.64,3.125,0.04008,253.8,0.2704,0.05309,0.01379,15.8,6.8
BF_mo_09_soil_cal,0.7956,28.47,2.454,0.04259,246.6,0.1381,0.1289,0.01923,11.3,3.6
BF_mo_10_soil_cal,0.7079,24.73,2.016,0.03183,217.4,0.1248,0.03259,0.01113,9.5,2.8
BF_mo_11_soil_cal,0.7252,27.9,2.174,0.0571,271.2,0.2548,0.1631,0.01846,11.3,2.6
BF_mo_12_soil_cal,0.809,28.04,3.661,0.04155,297.6,0.8788,0.3168,0.02478,15,1.5
BF_mo_13_soil_cal,1.05,28.05,4.258,0.05208,347.6,0.3014,0.406,0.03004,18.8,6.4
BF_mo_14_soil_cal,1.136,25.32,2.715,0.0412,226.3,0.1187,0.2148,0.01158,12.1,3.9
BF_mo_15_soil_cal,0.3883,36.3,1.043,0.02401,124.6,0.1699,0.1126,0.00679,10.1,1.7
BF_mo_16_soil_cal,1.299,23.57,3.755,0.04185,283.7,0.8888,0.3129,0.02399,17.2,3.4
BF_mo_17_soil_cal,0.6309,26.61,2.204,0.03665,206.8,0.1858,0.1054,0.01636,11.4,2.3
BF_mo_18_soil_cal,0.603,27.57,2.161,0.0375,229.4,0.3903,0.1468,0.01701,11.5,1.7
BF_mo_19_soil_cal,1.31,24.36,3.855,0.04788,300.3,0.2167,0.1944,0.01556,15,5.1
BF_mo_20_soil_cal,1.486,27.2,3.981,0.04533,265.5,0.468,0.2486,0.0235,16.5,4.6
CI_sb_06_soil_cal,1.229,21.76,8.284,0.0429,546.1,0.1369,0.1796,0.02075,26.7,7.3
CI_sb_YAMS_0001,1.05,26.29,5.383,0.03853,450.4,1.173,0.238,0.00832,17.3,9.7
CI_sb_YAMS_0002,2.149,24.45,5.118,0.03603,381.4,0.2395,0.04743,0.02109,14,6.3
CI_sb_YAMS_0003,0.7681,33.91,3.491,0.03075,243.8,0.2229,0.02773,0.01082,13.9,5.6
CI_sb_YAMS_0004,1.324,24.96,7.844,0.04714,508.9,0.2306,0.1966,0.04156,23.2,8
CI_sb_YAMS_0005,2.395,24.81,6.95,0.04621,374.1,0.9427,0.1627,0.08326,26.4,11.8
CI_sb_YAMS_0006,2.789,22.11,7.538,0.063,366.9,3.055,0.2514,0.1009,31.1,18.3
CI_sb_YAMS_0007,2.937,22.06,10.16,0.04727,392.6,1.174,0.07073,0.02045,46.1,12.9
CI_sb_YAMS_0008,2.681,23.63,9.135,0.0585,431.8,1.247,0.3681,0.05525,56.7,17.4
CI_sb_YAMS_0009,1.07,26.89,4.553,0.0558,426,1.29,0.4015,0.02276,32.1,6.3
CI_sb_YAMS_0010,1.595,24.11,5.379,0.04476,464.2,2.082,0.7568,0.04335,29.2,11.6
CI_sb_YAMS_0011,1.459,22.74,10.24,0.04124,404.1,0.8324,0.136,0.01908,21.6,7.6
CI_sb_YAMS_0012,2.187,23.1,8,0.04935,409.9,1.851,0.1476,0.0797,29.8,26.7
CI_sb_YAMS_0013,1.313,25.02,5.399,0.0509,416.4,1.986,0.2526,0.02937,17.5,9.7
CI_sb_YAMS_0014,1.774,24.15,6.354,0.05557,372.4,2.973,0.2724,0.0725,23,14.4
BF_lo_01_soil_cal,0.9769,29.11,3.816,0.0529,194.6,0.4389,0.1162,0.01495,14.7,2.8
BF_lo_02_soil_cal,0.8926,25.76,5.301,0.04328,262,2.048,0.1599,0.01487,18.7,2.5
BF_lo_03_soil_cal,0.9964,26.29,3.219,0.0399,173.1,0.4256,0.04823,0.01694,14.8,2.9
BF_lo_04_soil_cal,0.7861,28.67,4.117,0.05162,243.6,0.5368,0.1369,0.02126,14,3.6
BF_lo_05_soil_cal,0.853,28.32,5.145,0.04546,253.5,1.209,0.1152,0.02347,16.7,2.6
BF_lo_06_soil_cal,0.8176,28.45,5.144,0.04776,185.3,2.498,0.0923,0.02649,19.3,1.9
BF_lo_07_soil_cal,0.6664,27.89,4.577,0.04729,197.3,1.26,0.07728,0.02117,17.7,2.8
BF_lo_08_soil_cal,0.8582,26.63,4.564,0.04191,190.6,1.511,0.07131,0.02474,19.7,2.9
BF_lo_09_soil_cal,0.9257,26.82,3.671,0.0713,190.7,0.9979,0.0974,0.02137,16.4,3.4
CI_sb_02_soil_cal,2.094,21.6,7.266,0.0582,460.7,3.228,0.3359,0.1146,40.2,12.1
CI_sb_03_soil_cal,1.017,23.2,6.458,0.0434,420.5,0.1991,0.1592,0.01213,21.5,5.9
CI_sb_07_soil_cal,1.492,20.07,7.905,0.05414,585.6,0.3099,0.3772,0.0462,31.3,4.7
CI_sb_08_soil_cal,1.455,20.91,9.18,0.04769,526.1,0.1048,0.3668,0.0131,29.5,4.7
CI_sb_09_soil_cal,0.5356,24.18,3.21,0.039,379.6,0.3466,0.1838,0.01007,14.1,2.6
CI_sb_10_soil_cal,0.7285,24.55,7.638,0.03095,351,0.199,0.09411,0.01419,20.5,2.8
CI_sb_11_soil_cal,0.5419,25.73,3.606,0.04314,471.9,0.937,0.3473,0.00592,16.3,1.1
CI_sb_13_soil_cal,0.7087,26.48,3.464,0.0459,402.8,0.5295,0.2231,0.02077,21.3,2.8
CI_sb_14_soil_cal,2.835,23.86,7.287,0.04987,421.7,0.2501,0.1362,0.04966,21.5,16.1
CI_sb_15_soil_cal,1.199,27.05,5.035,0.05046,330.4,2.704,0.1466,0.05979,22.5,7.5
CI_sb_16_soil_cal,0.5847,24.68,3.404,0.0508,378.6,1.803,0.2082,0.03406,18.1,4.1
CI_sb_17_soil_cal,3.52,20.04,7.448,0.0615,580,0.4774,0.3904,0.07547,38.4,21
CI_sb_18_soil_cal,1.86,23.78,6.472,0.065,344.2,2.362,0.1664,0.09785,41.2,20.1
CI_sb_19_soil_cal,1.098,27.66,5.196,0.043,316.6,3.159,0.2138,0.06162,23.9,6.1
CI_sb_20_soil_cal,1.256,27.03,5.421,0.04644,286.4,3.412,0.1369,0.07566,23.9,5.3
CI_tb_01_soil_cal,1.884,26.75,6.105,0.0702,346.5,0.3448,0.1813,0.0581,49.4,12.1
CI_tb_02_soil_cal,1.866,22.91,9.821,0.144,392.3,1.029,0.3849,0.0529,71.6,13.3
CI_tb_03_soil_cal,0.942,26.17,4.88,0.0856,324.9,1.938,0.1925,0.03674,29.7,2.8
CI_tb_04_soil_cal,1.4,24.85,5.757,0.0781,418.8,0.5514,0.4858,0.03599,34.5,6.6
CI_tb_05_soil_cal,1.037,24.46,6.074,0.06011,282.7,0.1624,0.1315,0.01579,36.6,7.7
CI_tb_06_soil_cal,0.8203,24.62,5.429,0.0674,372.6,1.877,0.3269,0.03169,30.4,3.9
CI_tb_07_soil_cal,1.79,23.34,7.796,0.0668,269.4,0.1915,0.1426,0.02654,31.4,7.9
CI_tb_08_soil_cal,1.648,22.03,9.943,0.1631,419.2,0.675,0.3341,0.03233,36.1,10.2
CI_tb_09_soil_cal,0.3899,25.77,3.618,0.06,264.2,1.345,0.1255,0.01119,29.5,1.4
CI_tb_10_soil_cal,1.922,23.06,8.002,0.1145,511.8,0.5276,0.4561,0.05304,34.4,12.3
CI_tb_11_soil_cal,0.7595,26.22,5.324,0.0715,335.7,1.809,0.2122,0.03351,22.4,2.7
CI_tb_12_soil_cal,0.5971,26.68,3.744,0.0601,296.4,1.128,0.1306,0.01867,14.6,2.4
CI_sb_01_soil_cal,2.957,21.88,7.807,0.0626,521.8,2.384,0.5204,0.07534,48.1,26.1
CI_sb_04_soil_cal,1.705,23.06,9.597,0.03752,420.5,0.05404,0.07148,0.01022,29.1,7.7
CI_sb_05_soil_cal,1.175,24.39,8.283,0.04093,410.2,0.1762,0.09808,0.00782,27.4,5.1
CI_sb_12_soil_cal,0.4943,28.26,2.795,0.04489,318.1,0.9247,0.1338,0.02348,13.9,1.1
CI_tb_13_soil_cal,1.6,24.42,8.588,0.0793,447.3,0.5955,0.2425,0.04787,24.1,11.3
CI_tb_14_soil_cal,0.8235,26.07,5.367,0.0652,261.9,1.117,0.08891,0.02216,23.8,3.6
CI_tb_15_soil_cal,0.5979,28.56,3.502,0.0654,319.5,1.158,0.2965,0.02405,22.2,2.7
CI_tb_16_soil_cal,0.6209,28.98,3.025,0.0709,277.7,0.6651,0.1159,0.0162,15,2.3
CI_tb_17_soil_cal,2.023,22.87,7.488,0.0909,639.4,0.4258,0.3771,0.06876,26.2,14.6
CI_tb_18_soil_cal,1.496,25.14,5.586,0.0918,392.9,0.4178,0.2205,0.04157,28.6,7.4
CI_tb_19_soil_cal,1.605,23.22,8.642,0.0694,466.2,0.3215,0.2373,0.0279,25.6,10.7
CI_tb_20_soil_cal,1.311,23.32,7.395,0.05966,286.8,0.2928,0.07313,0.02554,20.7,9.4
